Date,District,Confirmed,Recovered,Deceased
07-May-20,Palakkad,13,12,0
07-May-20,Pathanamthitta,17,17,0
07-May-20,Thiruvananthapuram,17,16,1
07-May-20,Thrissur,13,13,0
07-May-20,Wayanad,7,3,0
08-May-20,Alappuzha,5,5,0
08-May-20,Ernakulam,25,23,1
08-May-20,Idukki,24,23,0
08-May-20,Kannur,116,110,1
08-May-20,Kasaragod,179,178,0
08-May-20,Kollam,20,17,0
08-May-20,Kottayam,20,20,0
08-May-20,Kozhikode,24,24,0
08-May-20,Malappuram,24,23,1
08-May-20,Palakkad,13,12,0
08-May-20,Pathanamthitta,17,17,0
08-May-20,Thiruvananthapuram,17,16,1
08-May-20,Thrissur,13,13,0
08-May-20,Wayanad,7,3,0
09-May-20,Alappuzha,5,5,0
09-May-20,Ernakulam,25,23,1
09-May-20,Idukki,24,24,0
09-May-20,Kannur,116,110,1
09-May-20,Kasaragod,179,178,0
09-May-20,Kollam,20,17,0
09-May-20,Kottayam,20,20,0
09-May-20,Kozhikode,24,24,0
09-May-20,Malappuram,26,23,1
09-May-20,Palakkad,13,12,0
09-May-20,Pathanamthitta,17,17,0
09-May-20,Thiruvananthapuram,17,16,1
09-May-20,Thrissur,13,13,0
09-May-20,Wayanad,7,3,0
10-May-20,Alappuzha,5,5,0
10-May-20,Ernakulam,26,23,1
10-May-20,Idukki,24,24,0
10-May-20,Kannur,116,112,1
10-May-20,Kasaragod,179,179,0
10-May-20,Kollam,20,17,0
10-May-20,Kottayam,20,20,0
10-May-20,Kozhikode,24,24,0
10-May-20,Malappuram,27,23,1
10-May-20,Palakkad,13,13,0
10-May-20,Pathanamthitta,17,17,0
10-May-20,Thiruvananthapuram,17,16,1
10-May-20,Thrissur,15,13,0
10-May-20,Wayanad,10,3,0
11-May-20,Alappuzha,5,5,0
11-May-20,Ernakulam,26,23,1
11-May-20,Idukki,24,24,0
11-May-20,Kannur,116,112,1
11-May-20,Kasaragod,183,179,0
11-May-20,Kollam,20,17,0
11-May-20,Kottayam,20,20,0
11-May-20,Kozhikode,24,24,0
11-May-20,Malappuram,28,23,1
11-May-20,Palakkad,14,13,0
11-May-20,Pathanamthitta,17,17,0
11-May-20,Thiruvananthapuram,17,16,1
11-May-20,Thrissur,15,13,0
11-May-20,Wayanad,11,3,0
12-May-20,Alappuzha,5,5,0
12-May-20,Ernakulam,26,23,1
12-May-20,Idukki,24,24,0
12-May-20,Kannur,116,112,1
12-May-20,Kasaragod,183,179,0
12-May-20,Kollam,20,17,0
12-May-20,Kottayam,21,20,0
12-May-20,Kozhikode,24,24,0
12-May-20,Malappuram,31,23,1
12-May-20,Palakkad,14,13,0
12-May-20,Pathanamthitta,18,17,0
12-May-20,Thiruvananthapuram,17,16,1
12-May-20,Thrissur,15,13,0
12-May-20,Wayanad,11,3,0
13-May-20,Alappuzha,5,5,0
13-May-20,Ernakulam,26,23,1
13-May-20,Idukki,24,24,0
13-May-20,Kannur,117,112,1
13-May-20,Kasaragod,183,179,0
13-May-20,Kollam,20,18,0
13-May-20,Kottayam,22,20,0
13-May-20,Kozhikode,25,24,0
13-May-20,Malappuram,34,23,1
13-May-20,Palakkad,16,13,0
13-May-20,Pathanamthitta,18,17,0
13-May-20,Thiruvananthapuram,17,16,1
13-May-20,Thrissur,15,13,0
13-May-20,Wayanad,13,3,0
14-May-20,Alappuzha,5,5,0
14-May-20,Ernakulam,26,23,1
14-May-20,Idukki,25,24,0
14-May-20,Kannur,119,113,1
14-May-20,Kasaragod,193,179,0
14-May-20,Kollam,20,20,0
14-May-20,Kottayam,22,20,0
14-May-20,Kozhikode,26,24,0
14-May-20,Malappuram,39,23,1
14-May-20,Palakkad,19,13,0
14-May-20,Pathanamthitta,19,17,0
14-May-20,Thiruvananthapuram,17,16,1
14-May-20,Thrissur,15,13,0
14-May-20,Wayanad,16,3,0
15-May-20,Alappuzha,7,5,0
15-May-20,Ernakulam,26,23,1
15-May-20,Idukki,25,24,0
15-May-20,Kannur,119,113,1
15-May-20,Kasaragod,194,179,0
15-May-20,Kollam,21,20,0
15-May-20,Kottayam,22,20,0
15-May-20,Kozhikode,28,24,0
15-May-20,Malappuram,43,23,1
15-May-20,Palakkad,20,13,0
15-May-20,Pathanamthitta,19,17,0
15-May-20,Thiruvananthapuram,17,16,1
15-May-20,Thrissur,15,13,0
15-May-20,Wayanad,21,3,0
16-May-20,Alappuzha,7,5,0
16-May-20,Ernakulam,26,23,1
16-May-20,Idukki,25,24,0
16-May-20,Kannur,119,115,1
16-May-20,Kasaragod,194,179,0
16-May-20,Kollam,21,20,0
16-May-20,Kottayam,22,20,0
16-May-20,Kozhikode,31,24,0
16-May-20,Malappuram,45,23,1
16-May-20,Palakkad,22,13,0
16-May-20,Pathanamthitta,19,17,0
16-May-20,Thiruvananthapuram,17,16,1
16-May-20,Thrissur,19,13,0
16-May-20,Wayanad,21,5,0
17-May-20,Alappuzha,7,5,0
17-May-20,Ernakulam,27,23,1
17-May-20,Idukki,25,24,0
17-May-20,Kannur,121,115,1
17-May-20,Kasaragod,195,179,0
17-May-20,Kollam,22,20,0
17-May-20,Kottayam,22,20,0
17-May-20,Kozhikode,33,24,0
17-May-20,Malappuram,49,23,1
17-May-20,Palakkad,24,13,0
17-May-20,Pathanamthitta,19,17,0
17-May-20,Thiruvananthapuram,17,16,1
17-May-20,Thrissur,20,13,0
17-May-20,Wayanad,21,5,0
18-May-20,Alappuzha,9,5,0
18-May-20,Ernakulam,28,23,1
18-May-20,Idukki,25,24,0
18-May-20,Kannur,124,115,1
18-May-20,Kasaragod,197,179,0
18-May-20,Kollam,28,20,0
18-May-20,Kottayam,24,20,0
18-May-20,Kozhikode,35,24,0
18-May-20,Malappuram,50,23,1
18-May-20,Palakkad,25,13,0
18-May-20,Pathanamthitta,21,17,0
18-May-20,Thiruvananthapuram,20,16,1
18-May-20,Thrissur,24,13,0
18-May-20,Wayanad,21,5,0
19-May-20,Alappuzha,10,5,0
19-May-20,Ernakulam,28,23,1
19-May-20,Idukki,25,24,0
19-May-20,Kannur,129,115,1
19-May-20,Kasaragod,197,179,0
19-May-20,Kollam,28,20,0
19-May-20,Kottayam,24,20,0
19-May-20,Kozhikode,35,24,0
19-May-20,Malappuram,53,23,1
19-May-20,Palakkad,26,13,0
19-May-20,Pathanamthitta,22,17,0
19-May-20,Thiruvananthapuram,20,16,1
19-May-20,Thrissur,25,13,0
19-May-20,Wayanad,21,5,0
20-May-20,Alappuzha,11,5,0
20-May-20,Ernakulam,29,23,1
20-May-20,Idukki,25,24,0
20-May-20,Kannur,132,116,1
20-May-20,Kasaragod,198,180,0
20-May-20,Kollam,28,20,0
20-May-20,Kottayam,24,20,0
20-May-20,Kozhikode,36,24,0
20-May-20,Malappuram,57,23,1
20-May-20,Palakkad,33,13,0
20-May-20,Pathanamthitta,24,17,0
20-May-20,Thiruvananthapuram,22,16,1
20-May-20,Thrissur,27,15,0
20-May-20,Wayanad,21,6,0
21-May-20,Alappuzha,13,5,0
21-May-20,Ernakulam,29,23,1
21-May-20,Idukki,26,24,0
21-May-20,Kannur,136,116,1
21-May-20,Kasaragod,199,180,0
21-May-20,Kollam,30,20,0
21-May-20,Kottayam,27,21,0
21-May-20,Kozhikode,36,25,0
21-May-20,Malappuram,62,25,1
21-May-20,Palakkad,34,13,0
21-May-20,Pathanamthitta,24,17,0
21-May-20,Thiruvananthapuram,24,16,1
21-May-20,Thrissur,30,15,0
21-May-20,Wayanad,21,10,0
22-May-20,Alappuzha,13,5,0
22-May-20,Ernakulam,29,23,1
22-May-20,Idukki,26,24,0
22-May-20,Kannur,148,116,1
22-May-20,Kasaragod,206,180,0
22-May-20,Kollam,31,20,0
22-May-20,Kottayam,29,21,0
22-May-20,Kozhikode,41,25,0
22-May-20,Malappuram,66,27,1
22-May-20,Palakkad,39,13,0
22-May-20,Pathanamthitta,25,17,0
22-May-20,Thiruvananthapuram,24,16,1
22-May-20,Thrissur,34,15,1
22-May-20,Wayanad,22,10,0
23-May-20,Alappuzha,18,5,0
23-May-20,Ernakulam,29,23,1
23-May-20,Idukki,26,24,0
23-May-20,Kannur,164,116,1
23-May-20,Kasaragod,210,181,0
23-May-20,Kollam,34,21,0
23-May-20,Kottayam,31,22,0
23-May-20,Kozhikode,45,25,0
23-May-20,Malappuram,74,27,1
23-May-20,Palakkad,58,13,0
23-May-20,Pathanamthitta,25,17,0
23-May-20,Thiruvananthapuram,24,16,1
23-May-20,Thrissur,34,15,1
23-May-20,Wayanad,23,10,0
24-May-20,Alappuzha,22,5,0
24-May-20,Ernakulam,33,23,1
24-May-20,Idukki,26,24,0
